category,Link,Title
Pleading,hdxYg7cHKYY,None
Evidence Act,J6uxnP6bY-w,Types of Witnesses: Justice V. Ramkumar
Cr.P.C,1XfgZ9sujRk,What are Bailable and Non-Bailable Offenses?
Pleading,9WcvL1JneHE,AOR 2023 Drafting lecture
,,Art of Thinking Out of the Box: Uday Holla Former Advocate General Karnataka
Evidence Act,,Proof & importance of Documentary Evidence in Civil Cases S.R. Somasekhara Principal District Judge
,,Topper's Tips to Top: Dr. Darpan Ahluwalia (IPS)
,,How to overcome nervousness: Lt Gen KJS Dhillon
,,"Effect of Demeanor/ Mannerism of Witness : Justice N. Kumar, Former Judge Karnataka High Court"
,,Whether Order on Bail Application is Appealable or Not? Justice V Ramkumar
,,"Criminal Appeals: Presentation and Submissions - Mohit Mathur Sr. Advocate,"
,,"Difference between Primary and Secondary Evidence: Justice Pradeep Nandrajog, Former Chief Justice"
,,Dispensation of Personal Attendance before Magistrate: Section 205 CrPC: Justice V Ram Kumar
,,Conditional Bail in Bailable Offences: Justice V. Ram Kumar
,,"Effect of Witness turning hostile by Justice N. Kumar,Former Judge Karnataka High Court"
,,"Effects of not filing a Written Statement - Justice N Kumar, Former Judge, Karnataka High Court"
,,Insurance Company: Sarfaesi Act: Justice Kannan Krishnamurthy
,,"Purpose of filing a Bail Application: Justice V. Ram Kumar, Former Judge, Kerala High Court"
,,"Public Private Partnership- Contract law: Dr. Nilima Bhadbhade, Lawyer and Writer"
,,"Can Bail be Construed as Detention? : Justice V. Ram Kumar, Former Judge, Kerala High Court"
,,"Distinction between Murder & Culpable Homicide from Litigation Perspective Vinod Ghai, Sen Advocate"
,,How can a marked document be exhibited as an evidence - Justice Mandhata Seetharama Murti
,,"Developing Skillsets for submissions in the Court: Uday Holla, Sen Adv, Former Advocate General"
,,Reading and understanding judgment in a better way by Justice Arjan Kumar Sikri Former Judge SC
,,Spotlight: Success Mantra in Sports by Yuvraj Singh
,,Interpretation of Conflicting Regulatory Laws by Maninder Singh Senior Advocate regul
,,Advocacy Art of Maintaining Judgment Diary/E-Diary Sen. Advocate Uday Holla Former Advocate General
,,Traversing Judicial Review : Article 226 Constitution of India - Aman Lekhi
,,"Search, Seizure and Arrest (NDPS Act,1985 ) : Section 41,42, 43 and 50 - Justice John Michael Cunha"
,,"What is Custody for the purpose of Section 437 and 439 CrPC - Justice V. Ram Kumar, Former Judge"
,,"What is the Purpose of filing Bail Application? Justice Ramkumar ,Former Judge Kerala High Court"
,,"Do Notarisation of contract make a difference:Dr.Nilima Bhadbhade, Lawyer and Writer"
,,Distinction Between Bailable and Non-Bailable offence
,,"Developing a mindset as an advocate during Client Counselling:PS Rajaopal,Senior Advocate Karnataka"
,,Bailable and Non-Bailable Offences
,,"Mantra for drafting: Petitions and Life: Uday Holla,Senior Advocate, Former Advocate General"
